Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Value,Activity
CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,364.46,0.0,3.49,40.0,40.0
CCc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,372.88,0.0,4.43,1700.0,1700.0
CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,413.9,1.0,5.19,50.0,50.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,0.0,3.93,200.0,200.0
CS(=O)(=O)c1ccc(-c2csc(CC(=O)O)c2-c2ccc(F)cc2)cc1,390.46,0.0,4.25,10000.0,10000.0
CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,316.49,1.0,5.66,4500.0,4500.0
COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,574.08,2.0,5.28,190.0,190.0
COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,453.95,1.0,5.25,4000.0,4000.0
Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,280.25,0.0,3.54,100000.0,100000.0
CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,338.43,0.0,2.95,500.0,500.0
COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,464.54,0.0,4.54,870.0,870.0
Cc1cc(=O)c(Oc2ccccc2C)c(-c2ccc(S(C)(=O)=O)cc2)o1,370.43,0.0,4.12,170.02,170.02
CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,367.3,1.0,5.49,10.0,10.0
CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,399.87,0.0,4.8,100.0,100.0
C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,440.71,1.0,8.28,10000.0,10000.0
CC(=O)c1ccc(Nc2cccc(C(=O)O)c2)cc1,255.27,0.0,3.33,100000.0,100000.0
CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccc(O)cc2)C1,338.41,0.0,4.44,100000.0,100000.0
CCOc1ccc(C2CC(C(C)(C)C)=NN2c2ccc(C(=O)O)cc2)cc1,366.46,1.0,5.14,100000.0,100000.0
c1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,365.4,0.0,4.65,11100.0,11100.0
CC(=O)O[C@@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@@]1(C)CC[C@@H]([C@H](CCC=C(C)C)C(=O)O)[C@]1(C)CC3,498.75,1.0,8.11,10000.0,10000.0
CC(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,442.73,1.0,8.51,10000.0,10000.0
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,308.31,0.0,2.76,700.0,700.0
COc1ccc2c(c1)CCC(c1ccc(OC)c(OC)c1)=C2,296.37,0.0,4.2,30.0,30.0
CCOC(=O)c1c(C)oc2ccc(Oc3ccccc3C)cc12,310.35,1.0,5.02,6100.0,6100.0
CCOC(=O)c1c(-c2ccccc2)oc2ccc(Oc3ccccc3)cc12,358.39,1.0,6.07,18200.0,18200.0
Cc1ccc(-c2nn(-c3ccccc3)cc2C2N[C@H](C(N)=O)CS2)cc1,364.47,0.0,3.04,380.0,380.0
CC1(C)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,344.45,0.0,4.96,15.14,15.14
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,363.87,0.0,4.09,8.913,8.913
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,314.36,0.0,2.56,3400.0,3400.0
CCCOCCCSc1ccccc1OC(C)=O,268.38,0.0,3.52,50000.0,50000.0
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,329.42,0.0,3.44,1.995,1.995
Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,359.4,0.0,4.25,3.981,3.981
NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,333.8,0.0,2.84,48.98,48.98
NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,331.37,0.0,2.66,199.53,199.53
COc1c(C)cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,445.85,0.0,4.18,66.07,66.07
